23, 11, 26
33, 47, 38
33, 71, 57
125, 130, 128
77, 135, 134
147, 138, 146
162, 169, 35
185, 180, 26
233, 54, 230
241, 101, 72
193, 278, 127
313, 310, 114
316, 324, 318
141, 102, 340
362, 350, 111
369, 157, 308
375, 190, 237
385, 389, 390
356, 395, 347
217, 401, 179
478, 476, 444
38, 372, 521
59, 545, 401
380, 294, 568
585, 594, 586
598, 479, 607
611, 279, 286
166, 286, 37
586, 48, 166
354, 669, 280
32, 453, 687
34, 126, 617
368, 98, 669
570, 703, 55
330, 711, 163
398, 474, 719
152, 725, 70
664, 192, 533
3, 114, 803
52, 493, 555
327, 359, 347
790, 814, 188
73, 829, 627
11, 758, 42
858, 441, 464
875, 155, 149
220, 886, 883
81, 899, 891
902, 191, 901
218, 903, 181
907, 334, 360
233, 805, 913
922, 873, 225
98, 33, 343
171, 168, 928
219, 410, 933
945, 422, 807
414, 378, 28
201, 586, 42
925, 42, 163
198, 129, 368
957, 81, 956
436, 928, 779
597, 82, 983
1001, 179, 1002
209, 188, 13
254, 255, 611
793, 555, 1028
1069, 141, 998
170, 836, 134
949, 855, 1104
286, 1109, 723
370, 128, 1111
166, 1114, 652
645, 697, 640
1137, 453, 1115
190, 1145, 157
1147, 39, 27
1149, 233, 195
209, 920, 1180
7, 614, 762
1222, 368, 453
570, 148, 347
1241, 46, 157
1258, 200, 777
76, 286, 611
101, 390, 96
505, 1281, 125
1135, 823, 1042
1305, 1302, 1304
313, 1325, 958
378, 15, 1329
32, 166, 453
695, 454, 493
54, 1229, 570
1355, 133, 422
110, 1376, 1396
895, 790, 129
1226, 47, 150
1405, 188, 36
1406, 330, 1408
565, 1040, 333
1412, 1040, 481
777, 101, 406
812, 146, 252
87, 1424, 652
190, 845, 94
1040, 614, 52
313, 380, 1434
1466, 1457, 648
429, 617, 1477
829, 1484, 830
114, 155, 1239
472, 1499, 1497
778, 33, 312
1338, 1509, 1207
1334, 157, 252
1519, 1178, 141
921, 27, 129
793, 854, 476
1526, 582, 130
167, 5, 1527
246, 1054, 169
76, 72, 225
1570, 1568, 182
1215, 1581, 539
195, 347, 378
510, 32, 33
228, 76, 1589
1348, 930, 42
32, 370, 669
918, 422, 454
252, 645, 653
842, 921, 1601
198, 33, 370
508, 1609, 110
376, 1610, 26
1616, 330, 401
124, 1620, 55
644, 155, 81
257, 205, 179
474, 1623, 1312
803, 1144, 128
100, 1242, 126
272, 792, 640
1661, 196, 1662
562, 195, 317
787, 958, 1667
38, 493, 369
82, 1691, 215
984, 970, 87
102, 941, 1432
1693, 166, 1699
1308, 228, 370
86, 60, 347
1709, 929, 1312
1, 709, 369
1011, 102, 1711
257, 690, 98
209, 877, 54
279, 533, 292
188, 725, 1280
86, 1053, 1072
1750, 309, 1748
987, 157, 203
1759, 223, 1614
686, 1231, 246
1363, 644, 1772
330, 181, 1589
313, 172, 510
198, 1264, 162
671, 123, 239
208, 876, 230
1790, 1789, 100
733, 1792, 380
508, 777, 401
87, 958, 861
438, 155, 178
1299, 166, 790
111, 407, 54
286, 429, 1445
272, 166, 96
195, 1825, 392
186, 1124, 1210
1011, 318, 3
1833, 89, 173
790, 126, 1242
152, 34, 429
388, 791, 376
1270, 777, 138
199, 859, 390
493, 1709, 35
257, 265, 1653
142, 19, 123
477, 1146, 830
854, 189, 169
102, 789, 1878
254, 827, 1687
1629, 176, 200
403, 128, 33
1373, 518, 269
1938, 820, 1936
511, 1302, 566
64, 1943, 77
1947, 433, 477
493, 508, 938
984, 308, 1230
761, 1977, 378
958, 797, 403
1947, 76, 1047
1302, 570, 376
72, 347, 1396
26, 1990, 653
1993, 102, 1112
223, 474, 157
29, 266, 400
1891, 602, 95
485, 1610, 188
571, 929, 465
32, 410, 82
343, 146, 73
55, 539, 2021
2023, 1062, 702
381, 681, 26
87, 208, 1268
75, 979, 804
1490, 558, 904
2038, 1418, 82
1138, 832, 18
1138, 2043, 807
132, 2044, 330
1530, 75, 263
157, 1105, 219
330, 476, 761
772, 97, 54
2049, 2050, 2051
87, 1014, 687
2053, 174, 398
902, 611, 170
128, 141, 48
1644, 133, 1131
2069, 837, 2067
172, 605, 317
390, 855, 922
279, 1308, 138
533, 1186, 539
408, 904, 330
493, 1526, 189
600, 25, 406
39, 316, 807
476, 468, 98
546, 157, 29
570, 600, 1116
854, 93, 779
251, 687, 72
1040, 110, 1093
1896, 2093, 2095
